PrimaryPropertyType,Neighborhood,NumberofBuildings,PropertyGFATotal,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEnergyUse(kBtu),ElectricityProp,SteamProp,GasProp,Age,BuildingArea,ParkingArea,LargestUsedArea,SecondLargestUsedArea
Supermarket / Grocery Store,NORTHEAST,1.0,33005,Supermarket/Grocery Store,Parking,10642754.0,0.6915205406420181,0.0,0.30847936539733983,41,1.0,0.0,1.0,0.0
Other,EAST,1.0,20971,Parking,Retail Store,729397.1875,0.9999997429384111,0.0,0.0,35,1.0,0.0,1.0,0.0
Small and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,23910,Office,Retail Store,873577.3125,0.7763102249750792,0.0,0.22368941730042927,89,1.0,0.0,0.8364700961940611,0.16352990380593893
Worship Facility,BALLARD,1.0,21765,Worship Facility,NONE,431390.4063,0.27798949222946595,0.0,0.7220095659322501,106,1.0,0.0,1.0,0.0
University,EAST,1.0,2200000,College/University,Parking,114648520.0,0.5379294996568643,0.0,0.46207045673158276,77,1.0,0.0,0.7816559090909091,0.14498181818181818
Worship Facility,CENTRAL,1.0,26560,Worship Facility,NONE,1751483.875,0.34826640924684504,0.0,0.6517336621212113,115,1.0,0.0,1.0,0.0
Warehouse,LAKE UNION,1.0,20140,Non-Refrigerated Warehouse,NONE,116486.6016,1.0,0.0,0.0,59,1.0,0.0,1.0,0.0
Retail Store,GREATER DUWAMISH,1.0,38845,Retail Store,Parking,6917280.0,0.47569651654985773,0.0,0.5243033388846483,24,1.0,0.0,1.0,0.0
Supermarket / Grocery Store,GREATER DUWAMISH,1.0,26092,Supermarket/Grocery Store,Parking,7619445.0,0.6568713338044962,0.0,0.34312866619550375,63,1.0,0.0,0.994404415146405,0.0
Small and Mid-Sized Office,GREATER DUWAMISH,1.0,25500,Office,NONE,1213869.75,0.16373091099765852,0.0,0.8362692949552454,49,1.0,0.0,1.0,0.0
Warehouse,GREATER DUWAMISH,1.0,41895,Non-Refrigerated Warehouse,Office,1242311.5,0.7133653677036718,0.0,0.2866342298207817,55,1.0,0.0,0.8956677407805227,0.06196443489676572
Retail Store,GREATER DUWAMISH,1.0,56193,Retail Store,NONE,2497942.75,0.7441923959226047,0.0,0.25580730383032196,58,1.0,0.0,1.0,0.0
K-12 School,BALLARD,1.0,35448,K-12 School,NONE,1379932.5,0.20330632114251965,0.0,0.7966933165209168,94,1.0,0.0,1.0,0.0
Supermarket / Grocery Store,BALLARD,1.0,29214,Supermarket/Grocery Store,NONE,9336239.0,0.6670010268588883,0.0,0.33299897314111176,50,1.0,0.0,1.0,0.0
Supermarket / Grocery Store,BALLARD,1.0,89103,Supermarket/Grocery Store,Parking,14029480.0,0.5565437920721225,0.0,0.44345613664939826,16,0.5170196289687216,0.4829803710312784,0.5278610147806471,0.0
Other,BALLARD,1.0,32000,Other - Recreation,Office,1331122.125,0.41215677336893486,0.0,0.5878431327253313,55,1.0,0.0,0.93375,0.146875
Mixed Use Property,BALLARD,1.0,31140,Other,Retail Store,935580.3125,0.2507673546198098,0.0,0.7492323113629008,106,1.0,0.0,0.4765574823378292,0.3018625561978163
Warehouse,BALLARD,1.0,41478,Non-Refrigerated Warehouse,Office,3035962.25,0.5926895171374413,0.0,0.4073104005163437,41,1.0,0.0,0.7698538984521915,0.23014610154780848
Warehouse,BALLARD,1.0,39840,Non-Refrigerated Warehouse,NONE,752104.0,1.0,0.0,0.0,36,1.0,0.0,1.0,0.0
Other,BALLARD,1.0,30576,Library,Other - Services,1533245.75,0.6065811693917952,0.0,0.39341899366099664,12,0.49058084772370486,0.5094191522762951,0.49058084772370486,0.10138670852956568
Other,BALLARD,1.0,21528,Social/Meeting Hall,NONE,306911.0938,0.6839570293825593,0.0,0.3160426649914732,92,1.0,0.0,1.0,0.0
Other,BALLARD,1.0,30000,Strip Mall,Parking,1094940.75,0.8909714977728247,0.0,0.10902873055003205,88,1.0,0.0,0.8609333333333333,0.0
Other,BALLARD,1.0,30087,Other,NONE,5274642.0,0.9999998104136736,0.0,0.0,74,1.0,0.0,1.0,0.0
Worship Facility,BALLARD,1.0,40445,Worship Facility,NONE,786253.6875,0.3449510053967155,0.0,0.6550493920577002,41,1.0,0.0,1.0,0.0
Retail Store,BALLARD,1.0,23500,Retail Store,NONE,1137967.5,0.8979896174539256,0.0,0.1020099431662152,20,1.0,0.0,1.0,0.0
Retail Store,Ballard,1.0,22420,Retail Store,NONE,1404253.75,0.6604376167768824,0.0,0.3395625612536196,49,1.0,0.0,1.0,0.0
